Fundraising / Future Projects IN PROGRESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Applying to,DL,Progress (Scoping/ writing/ submitted),Project name,Project dates,Amount to be applied for,Lead bid writer,Notes on fund,Notes on project,,,,,,,,,,,,,,,,,,,,,
"CORE - targets: 
£40K per annum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esmee Fairbairn Foundation,Rolling deadline - aiming for 5 November,Scoping,Core,,,Jo/Leo,"Creative confident communities, submit a 300 word EOI, with a response within 6 weeks. 
3-5 years funding, upto £250K
https://esmeefairbairn.org.uk/applications/","£50K per annum to support 
Creative Familes £25K
Generate £10K
Community Panel £15K",,,,,,,,,,,,,,,,,,,,,
Oak Foundation,,,,,,,,https://oakfnd.org/,,,,,,,,,,,,,,,,,,,,,
Garfield Weston,"Rolling deadline, will respond within 4 months of application ",Scoping,Core,,10% of total annual turnover i.e. Max £35K,Jo/Leo,Core costs/capital/project. Under £100K. If unsuccessful can't apply within 12 months. ,,,,,,,,,,,,,,,,,,,,,,
"Steel Charitable Trust 
Arts & Heritage ",Applications closed!,Scoping,Core,,"Between £10-25K, usually around £10-15K",Jo,https://steelcharitabletrust.org.uk/grants/rolling-grants-programme/new-grant-making-policy/,Core costs,,,,,,,,,,,,,,,,,,,,,
The February Foundation,Rolling,,Core,,Up to £5000,,12 weeks notice,Core funding,,,,,,,,,,,,,,,,,,,,,
Freelands Foundation,,,TBC,,,Jo,https://freelandsfoundation.co.uk/funding,Next fund launches Summer 2024,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CREATIVE ENGAGEMENT PROG - targets: 
£28K for 2024/25 for Creative Families + £60K per annum 
£6,500 for Generate + continuation funding at £X per annum",,,,"See Joint strategic needs assessemnt info for useful data re. need in Portsmouth: 
https://www.portsmouth.gov.uk/services/health-and-care/health/joint-strategic-needs-assessment/#overview",,,,,,,,,,,,,,,,,,,,,,,,,
Reaching Communities - The National Lottery Communities Fund,,Scoping,TBC,,,Jo,,,,,,,,,,,,,,,,,,,,,,,
Rayne Foundation,,Review info,,,,,Previous Generate funder,,,,,,,,,,,,,,,,,,,,,,
The Henry Smith Charity - County Grants,n/a,Review info,Generate,,,,Up to £20k for up to 3yrs. Decision 3-6 months,Made unsuccessful application Oct 2019,,,,,,,,,,,,,,,,,,,,,
James Cowper Kreston Foundation,,Review info,Generate ,,,,"Up to £5K. 
Send application to  grantapplications@jamescowperkrestonfoundation.co.uk",,,,,,,,,,,,,,,,,,,,,,
The Prince of Wales Charitable Fund,rolling for small grants,Review info,Generate?,,,,"Social inclusion theme - Up to £5K (most get £1500), 1 application per year, if successful next application after 2 yrs.
Can apply for multi-year up to £15K",,,,,,,,,,,,,,,,,,,,,,
Portsmouth City Fund - HiWCF,"Missed deadline for 2024, next one April 2025",Scoping,Generate,,,,Up to £10K,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ARTS PROG - targets: 
£5K Winter Show 2025 
£50,000 for Summer Show 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
